rainfall_1h,rainfall_24h,wind_speed,road_condition_score,traffic_level,incident_count,incident_severity,route_health_score,elevation,slope,historical_disruptions,distance_to_incident,disruption
13.94,83.31,3.08,69.2,1,0,0,31.8,256.7,15.6,1,999.0,0
6.03,31.23,10.51,37.5,2,0,0,28.4,682.3,26.6,4,999.0,1
3.64,17.11,9.52,84.8,3,0,0,54.3,2529.1,10.2,0,999.0,0
4.26,23.2,21.79,43.2,4,1,3,5.0,2549.1,17.2,3,0.7,1
2.45,21.42,8.03,72.1,1,0,0,35.0,1754.6,22.1,0,999.0,1
1.28,17.22,4.74,21.2,4,0,0,23.3,2306.3,34.0,6,999.0,1
1.98,29.66,6.15,47.9,2,0,0,33.9,674.2,13.7,2,999.0,0
6.38,48.25,3.18,46.4,2,3,1,5.0,2531.5,6.8,1,2.8,1
0.07,1.32,0.33,60.8,2,0,0,41.5,499.8,19.6,2,999.0,0
0.56,49.9,27.24,25.5,2,1,3,5.0,397.8,28.9,4,13.6,1
0.21,43.97,8.78,79.3,2,0,0,45.3,424.9,6.0,1,999.0,0
0.19,23.75,3.44,36.3,3,0,0,28.5,1554.2,17.3,5,999.0,1
8.7,105.21,22.98,70.8,4,0,0,24.2,2063.4,2.6,2,999.0,0
5.47,46.85,25.32,80.2,2,1,1,18.2,1048.3,3.2,1,10.5,0
2.89,60.66,9.74,62.1,2,1,1,10.0,2545.8,19.4,1,12.7,0
0.46,3.79,2.94,75.6,4,2,4,13.1,1214.3,12.7,0,26.6,1
3.04,26.75,6.26,69.6,3,0,0,43.7,518.6,32.4,4,999.0,0
2.89,14.03,7.44,46.7,2,0,0,37.4,1291.6,23.7,1,999.0,0
0.86,8.26,8.98,80.7,2,3,3,11.3,1813.6,18.3,3,11.3,1
2.56,13.24,3.8,42.1,4,0,0,28.0,2189.0,16.7,4,999.0,0
2.29,32.49,15.79,62.8,3,1,1,24.5,1274.0,19.9,5,15.3,0
4.31,46.13,1.24,75.9,2,2,3,6.6,1604.3,3.5,1,39.8,1
4.54,44.84,17.39,48.4,2,0,0,26.7,805.0,34.1,3,999.0,1
0.21,3.58,19.66,42.7,4,1,2,18.4,1732.5,37.9,5,28.4,0
2.11,31.8,6.71,54.5,1,0,0,30.1,2565.6,8.5,2,999.0,1
4.42,42.43,8.29,81.3,5,0,0,40.4,270.2,6.3,2,999.0,0
3.15,31.78,21.16,89.7,1,0,0,52.8,2322.0,7.2,4,999.0,0
8.74,69.31,13.2,60.9,3,2,3,5.0,1527.6,25.8,0,27.0,1
4.84,38.84,6.88,69.6,2,0,0,45.3,767.6,25.8,1,999.0,0
0.8,12.29,7.47,87.7,2,1,3,33.6,2489.5,32.5,5,33.8,1
0.33,38.79,12.04,27.4,4,3,3,5.0,1334.2,29.1,4,25.9,0
4.63,23.94,25.78,37.4,2,1,4,5.0,962.6,18.2,1,14.4,0
0.12,10.25,7.63,73.2,3,1,1,30.1,594.7,24.1,2,33.7,0
3.97,53.18,6.73,81.8,1,0,0,45.4,748.9,26.8,2,999.0,1
12.68,109.72,8.94,84.3,1,0,0,26.0,2190.5,20.5,2,999.0,1
3.86,29.88,8.97,51.1,2,0,0,36.3,1655.3,19.1,1,999.0,1
2.21,12.93,10.71,26.7,3,1,3,5.0,2387.5,25.2,3,37.1,1
4.64,19.53,8.31,52.8,1,4,2,5.0,718.3,22.1,1,21.5,0
2.76,33.99,18.03,37.3,1,3,1,5.0,446.8,25.2,1,9.1,1
3.55,24.43,4.46,41.8,2,2,1,5.0,164.9,24.1,2,4.9,0
12.77,93.01,11.49,77.9,3,2,1,5.0,1394.3,27.9,4,33.6,1
2.2,58.77,11.78,25.7,3,0,0,18.1,2595.9,25.1,3,999.0,1
14.62,103.98,4.78,82.1,2,1,3,5.0,1852.7,20.7,0,29.5,0
10.61,41.05,11.41,52.1,1,2,2,5.0,905.6,26.5,4,6.9,1
0.98,16.42,11.98,64.7,4,0,0,38.6,2298.3,18.2,2,999.0,0
0.32,18.77,0.72,26.7,2,3,2,5.0,2065.2,10.7,2,44.5,1
0.48,4.03,4.13,45.3,4,0,0,49.4,187.8,2.1,3,999.0,0
0.08,5.14,22.23,26.7,4,1,1,13.2,2151.3,22.2,2,27.0,0
0.45,27.66,5.67,92.1,3,1,2,31.7,886.3,23.3,1,35.1,0
5.17,47.05,3.43,80.5,2,3,4,5.0,516.7,37.0,0,33.3,1
0.33,13.22,1.74,54.5,4,0,0,43.2,704.5,15.0,1,999.0,0
1.73,14.52,3.83,36.8,3,1,2,7.6,1298.0,16.2,1,5.6,0
8.39,26.82,8.07,90.0,3,1,3,22.3,1190.9,9.3,2,26.3,0
0.11,3.38,3.23,45.8,2,0,0,44.1,857.8,4.5,1,999.0,1
7.58,54.6,13.31,32.1,2,1,3,5.0,571.9,29.8,1,40.1,1
1.49,12.06,4.71,62.2,1,1,3,7.4,2017.5,11.0,1,39.4,1
0.57,3.12,10.76,90.8,3,1,2,35.4,2575.8,23.9,3,44.0,1
5.37,54.44,20.32,20.3,3,0,0,6.9,2055.6,26.8,0,999.0,0
4.46,86.25,19.56,37.9,2,0,0,19.1,875.0,19.0,1,999.0,1
9.45,75.44,10.64,90.4,2,1,4,5.0,749.8,33.5,1,19.5,1
5.98,76.29,3.63,32.8,2,0,0,5.0,683.3,18.0,3,999.0,1
7.32,31.11,8.46,28.5,3,0,0,26.7,484.9,12.3,4,999.0,0
1.49,58.18,10.87,62.8,4,3,2,5.0,1500.8,34.3,1,36.9,1
0.88,7.7,33.46,84.6,2,1,4,23.1,1633.2,33.0,2,44.4,0
6.25,77.5,1.72,55.8,2,1,1,5.0,1878.5,7.9,4,11.9,1
7.4,127.69,8.48,94.6,1,0,0,26.3,1816.5,2.9,2,999.0,1
20.96,154.08,13.01,70.9,3,0,0,12.8,866.2,5.2,0,999.0,1
2.39,78.61,9.41,25.6,3,0,0,5.0,959.3,12.3,0,999.0,1
2.09,20.27,10.11,94.5,4,0,0,55.9,1819.7,37.0,3,999.0,1
6.74,28.24,4.93,50.6,2,1,2,8.0,1006.1,22.1,4,11.7,1
1.88,21.03,15.62,41.6,5,1,1,8.6,670.9,15.4,0,3.7,1
12.02,84.3,8.97,61.8,1,0,0,20.9,1067.1,34.0,0,999.0,1
8.8,39.59,10.09,42.8,3,0,0,32.9,816.6,18.3,2,999.0,0
2.52,23.17,16.66,26.5,1,0,0,27.8,366.4,13.3,1,999.0,0
6.25,81.03,7.03,20.1,4,0,0,8.0,2183.8,35.9,3,999.0,0
6.32,50.39,18.91,53.7,3,0,0,29.8,2240.1,32.6,1,999.0,0
0.49,25.54,3.13,82.8,3,3,3,5.0,688.4,32.4,5,5.2,1
10.48,84.15,10.47,62.9,4,1,2,5.0,308.7,20.4,0,42.9,1
3.17,56.25,4.7,94.9,2,1,1,26.3,1960.1,30.4,1,12.9,1
7.88,85.97,3.78,41.5,1,0,0,13.9,668.2,8.5,2,999.0,1
1.74,16.87,25.6,41.0,4,2,1,5.0,1113.9,22.6,2,40.5,0
10.16,113.66,3.28,32.0,2,1,4,5.0,307.1,37.4,2,30.6,1
2.22,28.64,9.09,32.3,1,1,3,5.0,704.4,12.5,2,28.0,1
0.05,2.99,3.06,41.4,2,0,0,35.8,2092.6,30.6,2,999.0,1
10.61,53.95,18.21,79.5,3,3,2,7.4,2120.8,19.7,2,37.4,1
0.43,21.46,6.54,87.9,1,2,3,15.7,657.4,3.4,1,39.6,1
1.73,17.07,16.6,93.1,2,2,2,22.9,973.0,29.5,2,29.1,1
13.49,99.7,12.73,37.4,1,0,0,5.8,478.9,8.1,1,999.0,0
13.54,93.15,30.54,86.1,2,0,0,28.5,331.7,24.7,2,999.0,1
3.83,20.38,2.55,44.6,4,0,0,33.3,2580.8,5.1,1,999.0,0
4.5,33.47,4.11,28.5,5,0,0,24.2,1756.2,36.1,0,999.0,1
2.68,39.15,16.05,85.3,3,2,2,5.0,1478.1,12.5,3,24.6,1
1.56,22.81,10.8,67.7,2,0,0,35.8,2025.5,10.2,2,999.0,0
1.79,11.5,7.4,32.4,4,0,0,27.9,2208.2,6.6,1,999.0,0
5.02,29.22,27.2,52.2,3,0,0,35.8,2126.5,36.1,3,999.0,1
6.28,48.42,8.67,41.5,2,0,0,23.0,190.5,27.6,1,999.0,0
7.06,76.68,4.84,75.3,4,0,0,38.3,607.7,28.7,2,999.0,1
7.01,27.05,16.73,54.0,3,2,4,5.0,1754.5,20.0,2,42.4,1
0.43,17.59,8.87,94.2,3,1,1,35.4,1070.6,19.1,1,42.9,0
3.07,27.67,9.34,24.1,3,0,0,30.1,2557.1,6.0,7,999.0,0
0.27,6.86,13.42,46.6,2,0,0,39.6,1780.2,22.2,1,999.0,1
3.59,51.41,13.75,56.1,2,0,0,34.3,2493.5,10.9,3,999.0,1
2.62,30.08,4.06,57.7,3,0,0,47.2,643.5,37.2,1,999.0,0
9.84,57.39,7.1,43.7,2,1,2,5.0,2266.7,30.7,1,35.0,1
1.94,15.17,2.84,74.7,2,1,2,24.6,937.3,16.9,2,28.5,1
0.56,3.39,10.91,85.6,3,1,2,32.1,2574.4,7.4,2,44.2,0
0.69,14.54,25.33,90.4,3,1,2,22.5,536.3,30.3,1,31.0,0
6.45,46.85,4.2,80.4,2,0,0,40.6,1415.0,6.4,3,999.0,1
4.33,29.3,2.39,83.8,3,3,2,5.3,2092.5,8.8,0,3.1,0
0.48,8.46,5.45,61.3,4,2,1,17.7,1210.0,9.6,4,6.7,0
0.4,10.63,7.35,81.9,3,2,2,20.8,1296.8,22.0,0,20.6,1
5.43,60.47,13.83,42.8,2,0,0,19.2,2566.6,30.3,4,999.0,0
0.34,76.68,6.82,49.9,2,3,1,5.0,1192.0,13.3,0,35.3,0
7.76,29.9,11.03,43.8,2,2,1,7.1,1630.0,5.0,0,7.6,1
5.51,65.36,6.06,55.1,1,2,1,5.0,283.6,18.7,1,43.9,1
0.38,9.89,7.64,41.4,2,0,0,37.1,2213.4,28.9,2,999.0,0
0.4,9.75,4.71,92.1,2,1,3,29.3,1738.0,10.0,2,19.6,0
19.42,161.07,3.62,43.5,2,3,2,5.0,1139.8,9.9,3,12.7,1
2.11,49.42,14.14,27.4,4,1,3,5.0,189.6,36.1,3,26.3,1
2.08,57.97,6.37,59.5,1,1,3,5.0,1599.6,36.3,3,3.1,1
7.54,38.89,11.56,24.3,3,3,3,5.0,181.0,37.7,0,7.2,1
13.24,96.34,4.66,28.3,3,0,0,6.7,152.9,31.1,1,999.0,0
19.21,93.13,8.71,36.5,1,1,2,5.0,1659.4,8.8,1,8.8,1
6.3,49.25,1.27,54.8,4,0,0,27.6,613.1,9.6,1,999.0,1
2.12,27.13,6.71,52.5,3,3,2,5.0,620.1,14.2,2,35.8,0
0.39,9.23,5.05,80.0,2,0,0,54.2,1750.5,13.5,4,999.0,0
6.76,37.52,17.76,75.5,3,1,2,19.0,281.6,36.4,2,20.0,1
3.68,20.73,3.17,52.0,2,1,3,11.1,917.8,30.4,5,1.5,1
2.48,13.91,7.86,45.0,3,2,2,5.0,516.1,28.1,1,15.9,1
10.66,88.72,10.82,43.7,1,1,3,5.0,1571.4,8.7,3,31.6,1
0.53,3.43,16.25,78.0,4,2,4,5.0,1771.3,34.7,1,4.5,1
3.05,34.04,14.88,23.9,2,3,1,5.0,1916.8,31.8,2,40.0,0
0.05,4.04,8.29,21.0,3,0,0,35.4,775.3,7.9,1,999.0,0
2.85,13.48,9.1,79.7,2,0,0,44.9,368.7,33.4,1,999.0,1
0.26,1.85,17.75,55.8,3,0,0,42.8,342.8,11.8,2,999.0,0
0.57,5.87,8.18,29.8,3,0,0,37.4,1194.1,4.9,2,999.0,0
0.56,33.61,9.76,37.7,2,1,1,14.7,2467.3,25.6,2,4.2,1
4.71,31.28,18.11,89.9,3,2,3,8.2,683.4,25.5,4,0.7,1
6.17,91.93,33.08,84.5,2,2,2,5.0,779.0,5.4,1,18.7,1
3.94,34.68,10.32,73.2,4,0,0,47.3,397.2,13.5,2,999.0,1
14.74,125.92,12.2,56.2,2,0,0,13.4,1633.6,37.7,2,999.0,1
2.11,28.36,14.61,59.0,4,1,1,14.2,1815.7,26.4,3,37.7,1
1.51,17.03,18.0,93.1,4,1,4,14.8,1725.2,28.3,3,32.4,1
9.13,91.22,16.5,92.4,2,0,0,35.4,2259.8,9.7,3,999.0,1
1.14,9.06,5.72,36.1,2,2,1,6.7,1341.7,4.8,6,33.2,1
14.86,111.87,10.78,80.8,2,3,4,5.0,479.4,12.0,1,42.4,1
0.06,33.95,16.57,34.8,4,0,0,28.9,859.0,11.0,4,999.0,0
15.76,160.38,20.34,36.0,2,2,3,5.0,1773.0,10.4,4,14.1,1
0.2,34.92,7.87,70.7,3,0,0,30.8,1652.1,8.9,4,999.0,0
9.98,78.31,10.61,50.4,4,1,3,5.0,1451.0,22.7,4,22.7,1
3.38,46.2,11.41,89.9,2,0,0,46.9,1823.3,13.8,0,999.0,0
22.31,110.6,8.9,26.7,3,0,0,5.0,1711.6,31.5,1,999.0,1
0.34,11.5,10.43,58.4,2,3,1,5.0,2309.2,8.6,2,30.2,0
3.63,21.65,45.22,88.9,1,0,0,44.4,1585.7,18.7,0,999.0,0
15.68,74.04,7.64,87.8,3,1,1,16.7,2057.6,2.5,2,26.2,0
3.33,24.66,8.06,31.7,1,0,0,31.4,759.3,19.3,3,999.0,0
4.47,27.17,2.16,47.5,2,0,0,39.5,1811.5,4.0,7,999.0,1
5.35,71.15,1.83,66.4,4,0,0,34.5,2360.4,37.2,4,999.0,0
2.73,20.4,11.93,32.0,2,0,0,24.2,1095.0,30.5,2,999.0,1
4.44,32.72,16.61,92.6,5,1,2,22.1,2058.8,19.6,2,41.5,1
3.95,15.54,14.76,88.6,5,0,0,57.7,1925.7,5.1,4,999.0,0
10.41,118.53,4.65,32.5,2,1,1,5.0,295.8,23.3,1,1.1,1
0.21,12.2,14.23,29.1,1,1,2,7.4,1574.7,29.3,1,20.0,1
1.48,15.97,7.97,26.4,3,1,2,5.0,469.0,8.9,4,37.0,0
13.52,106.51,6.66,88.2,2,0,0,23.4,2519.9,22.5,4,999.0,0
9.94,94.96,2.91,34.5,1,2,1,5.0,2137.9,31.3,5,23.3,1
2.74,16.66,5.1,51.2,3,0,0,40.5,418.8,29.7,0,999.0,0
4.36,41.76,12.11,53.7,1,0,0,35.5,448.3,30.9,1,999.0,0
1.46,29.42,10.7,64.9,4,0,0,41.1,1606.5,33.7,1,999.0,0
0.94,19.45,9.69,25.4,1,0,0,27.2,995.0,35.8,0,999.0,0
2.8,16.03,1.13,37.0,1,0,0,32.3,235.5,16.6,1,999.0,0
1.96,37.85,9.76,89.9,2,1,1,34.5,1477.0,22.5,1,31.4,0
3.94,23.96,5.65,88.1,5,0,0,54.0,1100.2,30.5,0,999.0,0
0.36,6.32,10.75,78.6,3,0,0,53.8,397.6,27.1,5,999.0,1
16.49,137.2,18.33,21.5,4,1,3,5.0,2114.7,37.8,1,36.7,1
19.28,111.37,6.29,44.5,2,0,0,7.0,2391.9,2.5,1,999.0,1
5.39,44.25,9.29,67.1,2,0,0,39.3,2003.7,14.8,2,999.0,1
3.46,39.6,27.11,40.6,2,0,0,27.7,2164.9,12.1,7,999.0,0
1.67,7.6,10.4,88.2,2,1,1,41.3,680.4,11.4,5,3.5,0
7.56,49.92,8.54,67.5,3,0,0,42.1,795.8,10.0,3,999.0,0
5.19,38.09,4.71,25.4,3,0,0,21.3,660.9,27.5,0,999.0,0
0.8,3.66,14.47,88.2,2,1,1,37.3,2024.4,5.1,1,11.6,0
10.88,121.74,4.1,91.8,4,1,3,5.0,2472.4,28.7,3,16.2,1
7.78,35.59,18.83,25.8,2,1,4,5.0,1906.3,27.0,0,33.4,1
13.46,87.54,13.2,59.9,5,2,2,5.0,2309.6,11.0,1,22.5,1
5.82,41.82,5.8,42.8,1,0,0,28.4,1714.8,11.1,1,999.0,1
4.28,20.01,4.83,49.5,2,0,0,38.8,1099.8,24.6,5,999.0,0
2.44,8.08,4.92,33.5,2,0,0,26.4,1193.1,29.4,3,999.0,1
12.15,103.45,1.86,63.4,2,0,0,15.6,334.5,33.6,2,999.0,1
9.05,99.04,11.75,91.8,3,0,0,28.6,227.1,32.7,4,999.0,0
0.21,4.49,1.29,57.7,2,0,0,42.2,1853.9,36.7,2,999.0,1
0.12,17.28,8.17,26.2,2,1,1,13.3,1224.2,22.9,1,10.2,1
2.13,27.31,7.81,66.5,3,1,2,21.3,1502.9,34.7,3,34.4,1
7.49,76.78,6.88,45.5,3,0,0,17.4,1516.3,31.1,1,999.0,1
19.64,163.75,11.7,84.2,4,1,4,5.0,829.6,34.2,3,40.7,1
0.73,8.49,5.81,52.6,2,0,0,34.4,1315.9,2.4,5,999.0,0
4.06,20.96,9.78,34.5,3,0,0,36.3,1303.4,36.8,2,999.0,1
2.16,26.49,18.83,34.3,3,1,3,5.0,1101.6,19.0,2,30.7,0
15.77,96.66,12.6,77.7,2,0,0,22.4,2160.7,30.7,1,999.0,1
8.31,32.12,6.46,39.9,2,0,0,31.9,1255.4,6.6,3,999.0,0
8.2,59.93,8.71,77.5,2,0,0,36.6,1628.9,16.3,4,999.0,0
2.85,44.26,6.89,35.4,1,3,3,5.0,2344.0,11.8,1,19.9,0
2.41,38.03,7.73,44.1,2,1,2,6.6,2272.3,12.5,5,44.4,1
1.44,74.33,9.98,54.9,1,0,0,18.7,2331.5,6.4,2,999.0,0
0.26,22.9,2.79,90.7,3,2,2,16.2,811.5,31.0,3,32.4,1
9.0,62.19,2.25,89.9,3,1,1,24.4,235.7,2.3,1,26.4,0
7.54,47.57,4.4,35.5,5,1,3,5.0,789.6,13.3,4,22.8,0
36.78,241.28,12.06,46.9,3,2,3,5.0,832.8,8.3,0,43.7,1
25.63,145.64,13.12,31.2,1,0,0,5.0,2377.9,23.2,5,999.0,1
3.65,30.51,14.37,58.2,4,0,0,33.3,1740.6,11.2,4,999.0,1
6.59,42.62,4.54,54.5,4,1,4,5.0,350.2,11.3,2,31.3,1
13.03,99.62,9.25,87.6,2,1,2,5.0,481.7,19.6,3,12.0,1
8.53,67.51,6.6,89.8,3,1,1,21.4,531.4,25.5,1,40.6,1
1.28,18.23,7.96,48.8,5,1,2,9.2,1694.5,6.4,2,19.6,0
2.69,58.66,6.52,56.9,3,3,3,5.0,1951.8,8.3,1,36.7,1
0.62,3.81,10.35,87.2,4,2,3,16.8,2256.1,10.9,5,17.8,1
13.86,103.56,5.29,80.5,1,2,1,5.0,2454.6,37.1,1,38.4,1
4.19,41.76,17.56,20.3,2,2,2,5.0,644.2,16.3,3,28.8,1
1.17,13.27,17.65,44.0,2,3,2,5.0,908.9,23.6,2,6.8,0
5.01,34.11,11.82,51.6,3,0,0,33.7,738.8,10.7,3,999.0,0
4.33,43.35,16.31,37.2,4,0,0,21.6,1029.0,19.7,0,999.0,0
2.0,12.41,2.7,35.0,5,0,0,23.7,2390.9,4.7,4,999.0,0
0.54,12.5,18.19,22.8,2,2,2,5.0,1559.0,3.3,1,8.1,1
5.01,32.21,11.1,68.3,1,1,4,11.4,1958.6,18.9,2,1.5,1
3.31,29.4,5.53,39.7,4,1,2,6.4,1350.8,16.4,2,9.9,0
6.66,65.07,5.12,23.9,3,0,0,7.0,220.7,6.9,2,999.0,1
3.3,45.12,22.01,37.3,2,0,0,23.5,307.3,26.8,1,999.0,0
8.6,52.99,14.51,80.1,2,1,3,5.0,1467.9,37.7,2,22.8,0
3.61,29.85,7.81,83.9,3,0,0,54.1,1911.0,16.2,0,999.0,1
3.7,24.87,2.67,56.2,3,0,0,38.3,677.6,24.5,5,999.0,1
9.42,112.28,18.76,51.2,2,0,0,5.0,1918.7,36.7,4,999.0,1
2.32,34.08,3.65,93.3,2,0,0,50.3,2136.1,31.9,5,999.0,1
0.65,24.63,6.69,35.0,5,1,2,6.7,1159.1,18.7,2,39.7,1
0.13,30.39,7.81,36.2,3,0,0,25.5,1978.7,28.5,4,999.0,0
6.33,27.27,5.06,41.9,2,1,3,5.0,1139.9,6.6,3,32.2,1
4.36,49.69,7.57,33.0,2,0,0,13.8,1812.0,20.4,0,999.0,1
5.48,32.15,8.63,48.5,3,2,2,5.0,2021.8,12.0,0,0.5,1
1.08,14.14,7.46,88.3,2,0,0,52.3,2580.2,7.8,1,999.0,0
0.66,8.44,10.69,66.2,2,1,3,6.5,996.2,17.3,3,37.1,0
0.07,57.97,22.5,50.9,3,1,2,5.0,1157.0,6.7,2,6.0,0
1.94,36.41,2.79,90.1,2,0,0,54.5,555.8,27.2,3,999.0,0
4.01,36.66,9.63,23.6,3,2,2,5.0,650.0,18.4,3,29.9,1
2.24,34.46,3.68,35.8,1,1,1,16.4,1848.8,21.1,1,29.5,1
2.59,26.31,2.55,62.4,3,0,0,42.3,2396.8,7.3,3,999.0,1
10.55,95.58,15.55,66.2,2,0,0,22.8,1116.8,7.0,1,999.0,1
1.93,19.86,10.18,23.0,1,3,2,5.0,590.6,23.0,3,19.6,0
3.25,24.38,2.41,50.2,1,1,2,10.9,848.5,37.5,6,4.8,1
6.89,50.38,7.56,68.7,4,0,0,34.5,1264.9,5.5,1,999.0,1
2.27,40.1,4.41,72.4,4,0,0,39.0,862.1,12.3,3,999.0,0
4.38,53.94,7.75,67.9,2,2,2,5.0,722.3,33.3,5,40.5,1
8.92,69.16,13.42,44.0,3,1,4,5.0,1953.2,4.6,2,24.0,1
13.44,61.89,12.57,27.0,3,1,1,5.0,169.2,33.5,4,38.3,1
0.72,32.01,6.55,52.0,5,0,0,28.2,1471.1,20.9,1,999.0,0
11.75,61.14,16.0,29.7,2,1,3,5.0,2094.7,16.7,1,10.6,1
3.05,31.27,19.73,91.1,3,0,0,54.3,802.3,13.1,0,999.0,1
1.34,62.41,13.56,55.6,1,0,0,27.8,1628.1,12.7,1,999.0,0
2.77,17.46,5.79,43.8,2,1,4,5.0,1788.8,13.0,3,36.2,0
17.61,136.26,7.92,77.5,5,3,1,5.0,1754.8,33.9,3,17.7,1
3.05,34.51,22.07,57.3,3,0,0,34.9,1242.3,28.1,2,999.0,1
1.79,36.58,6.91,43.3,2,0,0,29.6,999.1,26.1,0,999.0,0
4.52,40.29,12.59,80.9,1,1,3,9.4,2198.0,30.8,2,4.0,1
1.24,60.42,5.01,85.0,3,1,2,16.9,2008.2,11.3,1,34.3,0
0.36,2.99,16.07,70.5,3,2,1,18.7,937.1,24.2,3,20.3,1
0.62,14.31,4.58,23.5,2,1,2,5.0,402.4,18.6,0,32.8,0
0.62,21.07,8.16,62.5,5,0,0,45.5,325.9,30.2,1,999.0,0
0.74,33.92,12.31,77.2,1,4,4,5.0,381.0,13.1,3,6.5,1
0.67,5.49,24.83,30.2,2,1,1,16.8,1578.0,25.2,4,6.9,1
4.61,54.96,10.06,37.2,4,2,2,5.0,276.6,33.8,0,34.1,1
0.9,17.09,7.21,86.2,2,1,2,25.3,975.5,16.5,2,32.6,1
1.91,19.79,6.83,21.5,2,2,4,5.0,1995.3,4.4,1,17.3,1
10.22,34.91,15.64,76.5,3,0,0,42.8,871.2,20.6,1,999.0,1
2.89,39.97,11.68,55.5,4,0,0,34.4,2020.1,14.5,2,999.0,0
4.96,35.18,13.25,53.5,1,2,1,5.0,1976.4,26.2,1,13.3,1
0.85,8.42,21.14,20.5,4,0,0,28.9,752.3,36.2,4,999.0,0
0.96,8.36,9.03,81.5,3,0,0,63.0,1935.6,19.5,3,999.0,0
0.19,31.34,11.16,47.0,2,2,3,5.0,1982.1,18.8,3,19.2,0
0.83,23.23,6.77,60.6,3,2,3,5.0,1123.8,25.6,5,5.9,0
1.47,33.72,4.87,70.8,2,0,0,45.9,665.5,5.7,3,999.0,1
0.88,8.5,5.61,72.7,2,2,3,16.6,1427.1,11.1,2,40.4,0
0.42,16.58,0.84,91.7,3,1,4,22.3,2407.4,35.1,2,26.6,1
0.58,15.47,12.23,59.9,5,1,3,6.9,1717.1,26.1,2,42.1,0
2.78,45.93,11.44,50.0,1,2,1,5.0,573.7,2.5,3,15.9,0
1.04,42.04,12.07,91.5,2,0,0,43.0,1822.8,9.4,4,999.0,0
2.04,8.19,4.62,68.2,2,0,0,51.4,1196.6,26.6,1,999.0,1
3.15,29.01,5.68,42.4,2,0,0,23.6,1599.2,29.5,1,999.0,1
5.28,19.22,5.54,29.5,2,1,2,5.0,1948.5,32.2,0,6.3,1
0.18,13.08,17.05,83.2,1,1,2,24.5,1411.6,12.5,6,0.6,0
7.23,54.4,9.81,47.2,3,2,2,5.0,2144.3,35.5,0,42.0,1
4.45,24.74,8.96,69.5,2,2,2,6.0,1919.3,21.9,1,25.2,1
0.38,7.72,14.03,55.3,2,1,2,19.5,1656.9,27.1,4,41.7,0
9.31,46.31,5.56,34.9,4,2,2,5.0,519.4,23.5,0,15.4,0
11.42,95.58,10.99,65.1,4,0,0,15.7,2198.1,6.4,2,999.0,1
0.28,21.06,26.77,24.6,2,0,0,27.9,2443.0,36.7,1,999.0,1
1.46,17.76,18.7,51.0,2,2,4,5.0,485.6,6.4,1,31.9,1
7.38,46.28,10.88,61.0,3,0,0,28.6,1346.2,11.2,2,999.0,0
6.21,53.45,9.19,52.7,2,0,0,38.9,784.3,31.3,2,999.0,0
0.92,8.75,12.0,76.2,2,1,1,36.0,1998.6,24.3,2,1.6,1
1.06,12.32,20.29,82.1,3,0,0,52.5,1918.0,32.2,2,999.0,1
2.08,30.0,19.42,77.8,1,2,4,5.1,495.2,20.6,2,15.2,0
2.98,26.56,22.36,22.9,1,0,0,31.6,2298.7,15.6,2,999.0,0
4.33,27.83,10.18,34.6,1,0,0,26.5,593.4,35.2,4,999.0,0
2.07,18.73,1.28,60.2,2,0,0,43.2,2103.3,3.3,1,999.0,0
2.79,52.32,25.64,90.1,1,1,2,15.9,1269.6,32.8,1,6.6,1
6.19,63.97,4.86,82.6,5,0,0,37.3,954.3,10.3,2,999.0,0
0.17,17.87,13.88,83.2,2,1,3,21.1,537.7,32.6,2,18.7,1
1.31,20.85,1.31,42.7,1,2,3,5.0,560.7,7.0,3,18.7,0
5.62,47.75,8.84,52.2,2,2,2,5.0,1771.6,22.9,2,14.6,1
10.15,69.13,6.91,55.3,4,0,0,26.9,1498.6,34.0,1,999.0,0
3.23,39.92,22.39,31.8,3,0,0,23.5,449.1,19.0,4,999.0,1
3.42,24.64,10.97,22.3,2,1,2,5.0,426.1,28.9,4,43.7,0
0.51,8.48,8.77,91.0,4,3,2,5.7,327.2,31.0,3,42.5,1
2.67,21.62,11.76,38.1,2,4,2,5.0,1972.2,28.5,3,22.0,1
3.42,20.95,0.5,38.0,2,0,0,29.4,1894.1,35.3,0,999.0,0
1.25,64.82,5.46,26.3,2,1,4,5.0,293.2,18.1,4,30.5,1
1.41,11.83,6.1,89.6,2,0,0,51.0,1522.7,8.2,3,999.0,0
2.13,19.76,12.96,63.5,2,0,0,40.9,357.5,3.7,2,999.0,0
0.09,3.41,4.06,70.0,3,0,0,55.3,2364.2,10.9,4,999.0,0
1.75,61.97,9.89,88.4,2,0,0,39.7,2372.4,7.2,1,999.0,0
1.07,7.36,8.21,45.9,3,0,0,40.8,1860.7,22.1,1,999.0,0
1.79,18.58,5.68,66.6,1,0,0,43.7,2419.2,8.7,1,999.0,0
0.57,24.51,5.96,22.9,2,1,3,5.0,2138.1,3.4,3,20.4,0
9.95,60.13,8.16,34.0,2,0,0,16.1,2179.9,3.3,4,999.0,1
4.05,22.86,1.7,82.3,4,1,1,35.5,1545.8,31.9,6,8.9,1
5.11,26.78,14.15,77.5,2,0,0,39.1,899.8,23.3,2,999.0,0
7.01,59.68,4.83,46.3,3,0,0,21.1,683.6,14.9,3,999.0,1
3.11,23.95,7.23,48.3,2,0,0,36.0,951.6,34.2,3,999.0,1
